שם החברה,עיר/אזור,טלפון,מייל (כללי/שירות),כמות רכבים מוערכת
חברת החשמל,מרכז,103,info@iec.co.il,1500+
בזק (טכנאים),מרכז,199,info@bezeq.co.il,900+
הוט (טכנאים),מרכז,*6900,info@hot.net.il,450+
יס (YES),מרכז,*2080,info@yes.co.il,400+
סלקום (טכנאים),נתניה,*3123,info@cellcom.co.il,350+
פרטנר (טכנאים),ראש העין,*54,info@partner.co.il,300+
מכבי שירותי בריאות,מרכז,*3555,info@maccabi.co.il,160+
כללית (שינוע),מרכז,*2700,info@clalit.co.il,260+
נתיבי ישראל,אור יהודה,*2120,info@iroads.co.il,130+
רכבת ישראל,לוד,03-693-3411,info@rail.co.il,210+
נמל אשדוד,אשדוד,08-851-7111,info@ashdodport.co.il,160+
דואר ישראל,ארצי,171,info@postil.com,850+
"מד""א",ארצי,101,info@mda.org.il,1000+
שגריר חילוץ,חולון,*3388,info@shagrir.co.il,160+
פמי פרימיום,מרכז,03-565-3535,info@femi.com,90+
דרכים חילוץ,מרכז,*2008,info@drachim.co.il,70+
ישראליפט מעליות,חולון,03-558-0555,info@isralift.co.il,120+
שינדלר נחושתן,פתח תקווה,03-926-0000,info@schindler.com,110+
תדיראן (שירות),פתח תקווה,*1700,service@tadiran.co.il,140+
טורנדו (שירות),בני ברק,1-700-501-505,info@tornado.co.il,90+
מטיילי ירון בר,נתניה,09-865-1111,office@yaron-bar.co.il,45+
הורן את ליבוביץ',מרכז,03-977-1111,office@horn.co.il,150+
יוחננוף (לוגי),רחובות,08-944-1111,info@yochananof.co.il,50+
חצי חינם (לוגי),חולון,03-502-1111,info@hazi-hinam.co.il,40+
"פיקוח ראשל""צ",ראשון לציון,03-963-4444,moked@rishon.muni.il,65+
פיקוח נתניה,נתניה,09-860-3333,moked@netanya.muni.il,50+
אלמור חשמל,חדרה,04-637-4141,info@el-mor.co.il,75+
מנורה מערכות,חולון,03-557-7777,office@menora.co.il,50+
מגנזיום מערכות,פתח תקווה,03-921-2222,info@magnesium.co.il,30+
טלפייר,פתח תקווה,03-970-0400,info@telefire.com,35+
רב בריח,יבנה,1-800-800-100,info@rav-bariach.com,80+
דלתות פנדור,ראשון לציון,*2500,info@pandoor.co.il,25+
מדיטק שירות,מרכז,03-902-2222,info@meditech.co.il,30+
נובולוג שילוח,מודיעין,08-914-6000,info@novolog.co.il,180+
סלא (SLA),שוהם,03-977-1111,info@teva.co.il,120+
דיפלומט הפצה,שדה תעופה,03-976-6666,info@diplomat.co.il,210+
אסם (סוכנים),שוהם,03-928-2222,info@osem.co.il,100+
שטראוס (סוכנים),פתח תקווה,*6860,info@strauss.co.il,100+
הפניקס (סוקרים),גבעת שמואל,03-539-5555,info@fnx.co.il,55+
מגדל (סוקרים),פתח תקווה,03-925-5555,info@migdal.co.il,50+
ביקור רופא,מרכז,*6101,info@bikurofe.co.il,35+
עיריית חדרה,חדרה,106,moked@hadera.muni.il,80+
עיריית חולון,חולון,03-502-7222,moked@holon.muni.il,75+
מי אביבים,תל אביב,03-762-1111,info@mei-avivim.co.il,50+
מי ראשון,ראשון לציון,03-963-1111,info@mei-rishon.co.il,30+
מי פתח תקווה,פתח תקווה,03-905-1111,info@mei-pt.co.il,30+
מי חולון,חולון,03-502-1111,info@mei-holon.co.il,30+
קבוצת אלדד לוי,מרכז,03-902-1111,info@eldan-levy.co.il,35+
וולטה סולאר,מרכז,03-902-4444,info@volta.co.il,35+
סינאל (Synel),מרכז,09-959-1111,info@synel.co.il,25+
יוסי אמבולנס,חולון,03-551-2222,info@yossi-ambulance.co.il,25+
מטבחי רגבה,נתניה,04-995-0300,info@regba.co.il,30+
מטבחי אביבי,בני ברק,03-619-3333,info@avivi.co.il,25+
פקר פלדה,רמלה,03-550-1111,info@paker.co.il,40+
איסקור,רמלה,08-927-1111,info@iskoor.co.il,50+
נטפים,מרכז,08-647-3111,info@netafim.com,80+
אבן קיסר,מרכז,04-636-4555,info@caesarstone.com,45+
כתר פלסטיק,מרכז,1-700-70-88-77,info@keter.com,65+
נירלט סוכנים,נתניה,1-700-500-057,info@nirlat.com,35+
טמבור סוכנים,נתניה,*6477,info@tambour.co.il,45+
סימנס ישראל,ראש העין,09-854-1000,info@siemens.co.il,50+
מוקד אנוש,מרכז,03-921-1111,info@enosh.co.il,30+
מוקד כרמל,נתניה,09-862-2222,info@carmel.co.il,45+
קלינור,ראשון לציון,03-961-4455,info@cleanor.co.il,45+
מור חברה לניקיון,פתח תקווה,03-924-4455,info@mor-clean.co.il,35+
שוהר שירותים,מרכז,03-550-1111,info@shohar.co.il,55+
אמנורי,נתניה,09-865-1111,info@amnori.co.il,25+
פזגז (טכנאים),פתח תקווה,03-920-4444,info@pazgas.co.il,110+
סופרגז (טכנאים),נתניה,09-830-8111,info@supergas.co.il,95+
אמישראגז שירות,מרכז,*6252,info@amisragas.co.il,90+
דור אלון שירות,הרצליה,09-950-0000,info@doralon.co.il,60+
סונול לוגיסטיקה,נתניה,09-863-0000,info@sonol.co.il,80+
מי רעננה,רעננה,09-775-0600,info@mei-raanana.co.il,20+
אמבולנס המרכז,פתח תקווה,03-930-2222,info@m-ambulance.co.il,20+
טרם שירותי רפואה,מרכז,1-599-520-520,info@terem.com,25+
מעליות על-רד,פתח תקווה,03-922-2222,info@al-rad.co.il,50+
צום מעליות,מרכז,03-619-1111,info@tzum.co.il,35+
א.מ.ש מעליות,ראשון לציון,03-961-2222,info@ams-elev.co.il,25+
רולניק מערכות,חולון,03-550-9111,office@rolnick.co.il,45+
מערכות נוח,נתניה,09-885-0444,info@noach.co.il,25+
אקון הנדסה,נתניה,09-865-6444,info@acon.co.il,45+
אלקו התקנות,ראשון לציון,03-963-3333,info@elco.co.il,65+
גילת טלקום,פתח תקווה,03-925-2222,info@gilat.net,35+
מובילי דרור,גדרה/אשדוד,08-859-1111,office@dror.co.il,55+
גט איט (Get It),נתניה,09-861-1111,info@getit.co.il,45+
מוניטין שליחויות,רחובות,08-944-1111,info@monitin.co.il,25+
זיגזג שליחויות,מרכז,03-613-0000,info@zigzag.co.il,35+
דיל דליברי,פתח תקווה,03-921-1111,info@deal-del.co.il,20+
קו קו (Kuko),תל אביב,03-613-5555,info@kuko.co.il,20+
מרציאנו שליחויות,נתניה,052-250-1376,info@marciano.co.il,35+
שליחויות ישראל,אזור,03-550-1111,info@israel-del.co.il,55+
מנטפילד שילוח,"נתב""ג",03-977-1111,info@mentfield.com,85+
פריץ מטענים,אור יהודה,03-538-2222,info@fritz.co.il,95+
פרידנזון הובלות,אשדוד/מרכז,08-851-4111,info@fridenson.co.il,145+
נספרסו שירות,פתח תקווה,*2500,info@nespresso.co.il,40+
טרה (הפצה),מרכז,1-700-703-333,info@tara.co.il,185+
וילי פוד,יבנה,08-932-1111,info@willifood.co.il,55+
שטראוס מים,אור יהודה,*6944,info@tami4.co.il,165+
אלקטרה צריכה,"ראשל""צ",*2060,info@ecp.co.il,190+
מיניליין,פתח תקווה,03-925-1111,info@miniline.com,55+
קריסטל שירות,מרכז,1-700-500-200,info@crystal.co.il,45+
מוביילאיי,ירושלים/מרכז,02-541-7333,info@mobileye.com,85+
ביטוח ישיר,פתח תקווה,03-925-1111,info@555.co.il,35+
אדמה (מכתשים),מרכז,08-629-1111,info@adama.com,65+
נטפים שירות,מרכז,08-647-3111,info@netafim.com,75+
דוראל אנרגיה,רמת גן,03-611-1111,info@doral-energy.com,30+
אנלייט אנרגיה,רעננה,03-900-1111,info@enlightenergy.co.il,30+
סולגרין,מרכז,03-902-1111,info@solgreen.co.il,25+
אורד (Orad),חולון,03-557-0000,info@orad.com,55+
מגאסון,מרכז,03-923-3333,info@megason.co.il,50+
ג'נרל אלקטריק,מרכז,03-915-0000,info@ge.com,45+
ליסינג 4 יו,בני ברק,*2500,info@l4u.co.il,45+
דומיקאר,מרכז,03-925-1111,info@domicar.co.il,35+
קופת חולים מאוחדת,מרכז,*3833,info@meuhedet.co.il,110+
Be (פארם) לוגיסטיקה,מרכז,03-902-1111,info@be-pharm.co.il,30+
Factory 54 (אירני),מרכז,03-902-1111,info@factory54.co.il,30+
דאצ'יה ישראל (שירות),פתח תקווה,*8555,info@dacia.co.il,20+
טויוטה ישראל,מרכז,*2102,info@toyota.co.il,60+
מיצובישי (כלמוביל),פתח תקווה,*3700,info@colmobil.co.il,35+
בסט קאר,מרכז,03-902-1111,info@best-car.co.il,25+
סאן קאר,מרכז,03-550-1111,info@suncar.co.il,30+
מנופי דורי,מרכז,03-902-1111,info@dori-cranes.co.il,35+
מבנה גז,מרכז,03-550-1111,info@mivne-gas.co.il,20+
גז גל,מרכז,03-920-1111,info@gas-gal.co.il,20+
אינטרנט רימון,מרכז,03-902-1111,info@rimon.net.il,20+
צאת השמש,מרכז,03-550-1111,info@sunrise.co.il,20+
קלין קור,מרכז,03-609-1111,info@cleancore.co.il,25+
א.א. אור הנדסה,מרכז,03-902-1111,info@or-eng.co.il,20+
י.ג. חשמל,מרכז,03-550-1111,info@yg-elec.co.il,25+
י.א. מערכות,מרכז,03-611-1111,info@ya-sys.co.il,25+
אייר-קונטרול,מרכז,03-550-1111,info@aircontrol.co.il,25+
יהלום אבטחה,מרכז,03-619-1111,info@yahalom-sec.co.il,25+
ביטחון אזרחי,מרכז,03-902-1111,info@civil-sec.co.il,25+
מוקד 99,מרכז,03-550-1111,info@moked99.co.il,25+
דורגאז,מרכז,03-920-1111,info@dorgas.co.il,20+
שיא גז,מרכז,03-550-1111,info@sea-gas.co.il,20+
אלגז,מרכז,03-611-1111,info@elgas.co.il,20+
יוניגז,מרכז,03-550-1111,info@unigas.co.il,20+
כלבו גז,מרכז,03-902-1111,info@kolbo-gas.co.il,25+
זוגלובק הפצה,מרכז,03-923-0000,info@soglowek.co.il,60+
עוף טוב (הפצה),מרכז,03-902-1111,info@oftov.co.il,35+
טירת צבי (הפצה),מרכז,03-902-1111,info@tirat-zvi.co.il,35+
מיה תעשיות מזון,מרכז,03-902-1111,info@maya-foods.co.il,35+
תבליני מימון,מרכז,08-623-0000,info@maimon.co.il,30+
קבוצת השומרים,מרכז,03-550-1111,info@hashomrim.co.il,45+
ספץ אינסטלציה,מרכז,03-902-1111,info@spez.co.il,20+
אמקור שירות,מרכז,03-550-1111,service@amcor.co.il,20+
מעליות המומחה,מרכז,03-550-4444,info@expert-elev.co.il,25+
מעליות אמין,מרכז,03-550-1111,info@amin-elev.co.il,20+
מוקד בטוח,מרכז,03-550-5555,info@batuach.co.il,20+
מי גיחון,מרכז,02-565-1111,info@hagihon.co.il,45+
מי גדרה,גדרה,08-859-1111,info@mei-gedera.co.il,20+
שי לי הסעות,רחובות,08-941-1111,info@shili.co.il,25+
ביטחון לאומי,מרכז,03-902-1111,info@nat-sec.co.il,35+
גנים ונוף,מרכז,03-550-1111,info@ganim.co.il,20+
קבוצת שקל,מרכז,03-607-7777,info@shekel.co.il,35+
אפולו סולאר,מרכז,03-550-1111,info@apollo.co.il,20+
פול-בוסט,מרכז,03-902-1111,info@poolboost.co.il,20+
הידרו-שירות,מרכז,03-550-1111,info@hydro.co.il,25+
מי ספיר,מרכז,03-611-1111,info@sapir.co.il,20+
פלרם (סוכנים),מרכז,04-638-1111,info@palram.co.il,45+
ויה ארקדיה,מרכז,03-902-1111,info@via.co.il,20+
קבוצת עופר,מרכז,03-608-1111,info@ofer.co.il,35+
אלוני חץ,מרכז,03-754-1111,info@alony-hetz.com,25+
ג.א. מהנדסים,מרכז,03-550-1111,info@ga-eng.co.il,25+
רם-אדרת,מרכז,03-611-1111,info@ram-aderet.co.il,30+
קבוצת גבאי,מרכז,03-902-1111,info@gabbay.co.il,35+
אביסרור מרכז,מרכז,03-550-1111,info@avisror.co.il,25+
שתית בנייה,מרכז,03-902-5555,info@shatit.co.il,30+
רשות העתיקות,מרכז,02-620-1111,info@antiquities.org.il,35+
הווטרינר העירוני,מרכז,03-550-1111,info@vet.gov.il,25+
הגנת הסביבה,מרכז,*6911,info@sviva.gov.il,35+
רכב גרר עירוני,מרכז,03-550-1111,info@tow.co.il,45+
מובילי השלום,מרכז,03-550-1111,info@hashalom.co.il,25+
הובלות א.א,מרכז,03-611-1111,info@aa-log.co.il,20+
קרוז לוגיסטיקה,מרכז,03-902-1111,info@cruise.co.il,20+
שירותי הפצה,מרכז,03-550-1111,office@distribution.co.il,30+
קבוצת תעבורה,רמלה,08-927-9444,info@taavura.co.il,450+
מילניום לוגיסטיקה,אשדוד,08-851-8111,info@millenium.co.il,220+
מאפיות אנג'ל,לוד,03-927-8111,info@angel.co.il,120+
מאפיית ברמן,בני ברק,*2820,info@berman.co.il,95+
קבוצת טיב טעם,עמק חפר,09-866-1111,info@tivtaam.co.il,85+
יס (YES) טכנאים,כפר סבא,*2080,info@yes.co.il,390+
החברה למשק וכלכלה,תל אביב,03-608-1111,info@mashcal.co.il,55+
בנק הפועלים,תל אביב,03-567-3333,info@bankhapoalim.co.il,210+
בנק לאומי,תל אביב,03-514-8111,info@leumi.co.il,195+
בנק דיסקונט,תל אביב,03-514-5555,info@discountbank.co.il,140+
בנק המזרחי טפחות,רמת גן,*8860,info@mizrahi-tefahot.co.il,130+
בנק הבינלאומי,תל אביב,03-519-6111,info@fibi.co.il,85+
אלטשולר שחם,תל אביב,*5054,info@as-invest.co.il,65+
פסגות בית השקעות,תל אביב,*3676,info@psagot.co.il,55+
קבוצת כדורי (Oto),בני ברק,*5151,info@kaduri.co.il,45+
שלב תובלה,מרכז,03-925-8222,info@shalev.co.il,85+
אגד (מרכז),מרכז,*2800,info@egged.co.il,2500+
דן (מרכז),מרכז,*3456,info@dan.co.il,1200+
מטרופולין,מרכז,*5900,info@metropoline.com,600+
קווים,מרכז,*2060,info@kavim-t.co.il,550+
אפיקים,מרכז,*5678,info@afikim-t.co.il,500+
סופרבוס,מרכז,*1-700-700-181,info@superbus.co.il,450+
אמנורי,נתניה,09-865-1111,info@amnori.co.il,25+
בי פט (BePet),מרכז,03-902-1111,info@bepet.co.il,25+
ביו-פט,מרכז,03-902-1111,info@biopet.co.il,45+
מעברות,מרכז,09-898-1111,info@maabarot.co.il,40+
דלתה,מרכז,03-608-1111,info@delta.co.il,40+
קבוצת נקש,מרכז,03-608-1111,info@nakash.co.il,45+
א.צ. טכנולוגיות,קדימה,09-899-1882,info@az-tech.co.il,30+
תדהר בנייה,רעננה,*3655,info@tidhar.co.il,95+
קבוצת חג'ג',תל אביב,03-608-1111,info@haggag.co.il,30+
ישראל קנדה,מרכז,03-754-1111,info@canada-israel.com,40+
קבוצת אורד (Orad),חולון,03-557-0000,info@orad.co.il,65+
אוליצקי עבודות עפר,חולון,03-550-8000,info@olizki.co.il,140+
ב. יאיר,מרכז,03-611-1111,info@b-yair.co.il,45+
אורתם סהר,מרכז,03-902-1111,info@ortam.co.il,55+
קבוצת נקש,מרכז,03-608-1111,info@nakash.co.il,35+
ניו-לוג,מרכז,03-550-1111,info@newlog.co.il,45+
מחסני השוק,מרכז,03-922-1111,info@shuk.co.il,35+
יינות ביתן,מרכז,03-922-1111,info@ybitan.co.il,50+
רמי לוי,מרכז,03-611-1111,info@rami-levy.co.il,65+
ויקטורי,מרכז,03-611-1111,info@victory.co.il,40+
ב.ג. מוקד,מרכז,03-550-1111,info@bg-moked.co.il,30+
מטיילי נס ציונה,נס ציונה,08-943-1111,info@nz-tours.co.il,25+
מטיילי רחובות,רחובות,08-944-1111,info@rehovot-tours.co.il,30+
מוניות חדרה,חדרה,04-633-1111,info@hadera-taxi.co.il,35+
מוניות נתניה,נתניה,09-861-1111,info@netanya-taxi.co.il,45+
מוניות פתח תקווה,פתח תקווה,03-930-1111,info@pt-taxi.co.il,55+
מטיילי ראשון,ראשון לציון,03-963-1111,info@rishon-tours.co.il,35+
יהודה רשתות,אשדוד/מרכז,08-856-1111,info@yehuda-nets.co.il,45+
פקר פלדה,מרכז,03-550-1111,info@paker.co.il,55+
חד אסף,מרכז,03-902-1111,info@had-asaf.co.il,45+
מיגון כבאות,מרכז,03-550-1111,info@fire-safe.co.il,25+
טלכור,מרכז,03-902-1111,info@telcor.co.il,20+
גמא ניהול,מרכז,03-550-1111,info@gama.co.il,25+
הראל ביטוח,רמת גן,03-754-7070,info@harel.co.il,80+
כלל ביטוח,תל אביב,*5454,info@clal.co.il,80+
ליברה ביטוח,חולון,*5252,info@libra.co.il,20+
אורד מערכות,חולון,03-557-0000,info@orad.co.il,45+
בינת תקשורת,מרכז,03-645-1111,info@bynet.co.il,90+
מלם תים,מרכז,03-925-1111,info@malam-team.co.il,110+
Matrix (מטריקס),מרכז,09-959-1111,info@matrix.co.il,130+
נס טכנולוגיות,מרכז,03-611-1111,info@ness.com,100+
וואן טכנולוגיות,מרכז,03-902-1111,info@one.co.il,90+
יוניליוור שירות,מרכז,1-800-780-780,info@unilever.co.il,55+
נטו שירות,מרכז,08-851-1111,info@neto.co.il,45+
אוריאל ואיתמר,נתניה,09-862-2211,office@uriel.co.il,45+
מנורה מערכות,חולון,03-557-7777,office@menora.co.il,55+
אלמור חשמל,חדרה,04-637-4141,info@el-mor.co.il,110+
מעבדות מילטון,נס ציונה,08-943-1111,info@milton.co.il,25+
מגנזיום מערכות,פתח תקווה,03-921-2222,info@magnesium.co.il,30+
טלפייר,פתח תקווה,03-970-0400,info@telefire.com,35+
ויקינג ישראל,מרכז,03-902-1111,info@viking.co.il,25+
רשף בטיחות,חולון,03-559-9955,office@reshef.co.il,30+
קבוצת סקופ,גדרה,08-863-1000,info@scope.co.il,65+
קבוצת עזריאלי,תל אביב,03-608-1111,info@azrieli.com,45+
אמות השקעות,מרכז,03-576-0500,info@amot.co.il,40+
מליסרון,מרכז,03-754-5454,info@melisron.co.il,35+
נכסי אריאל,מרכז,03-607-1111,info@ariel.co.il,30+
סנפיר שליחויות,נתניה,09-862-1111,info@snapir.co.il,25+
דוגה לוגיסטיקה,מרכז,03-550-1111,info@duga.co.il,30+
קראוון שליחויות,חולון,03-550-2222,info@caravan.co.il,25+
גל-ים הובלות,מרכז,03-961-1111,info@galyam.co.il,20+
אחים בוסקילה,מרכז,03-902-1111,info@buskila.co.il,40+
משהב,תל אביב,03-611-1111,info@mashab.co.il,35+
"רוטשטיין נדל""ן",נתניה,03-961-3333,info@rothstein.co.il,30+
פרשקובסקי,ראשון לציון,03-961-3333,office@prashkovsky.co.il,35+
יוסי אברהמי,מרכז,03-608-1111,info@yossi-a.co.il,30+
בוני התיכון,רמת גן,03-611-4444,info@bonay.co.il,25+
עמרם אברהם,חדרה,04-634-1111,office@amram.co.il,55+
מבני תעשייה,מרכז,03-611-1111,info@mivne.co.il,35+
גב-ים,מרכז,03-608-1111,info@gav-yam.co.il,30+
עיריית נתניה,נתניה,09-860-3333,moked@netanya.muni.il,110+
עיריית פתח תקווה,פתח תקווה,03-905-2222,moked@ptikva.org.il,130+
"עיריית ראשל""צ",ראשון לציון,03-963-4444,moked@rishon.muni.il,140+
עיריית חדרה,חדרה,106,moked@hadera.muni.il,80+
עיריית רחובות,רחובות,08-939-2106,moked@rehovot.muni.il,90+
מועצה עמק חפר,עמק חפר,09-898-1666,moked@hefer.org.il,45+
מגדל ביטוח,פתח תקווה,03-925-5555,info@migdal.co.il,55+
קבוצת תעבורה (תובלה),רמלה,08-927-9444,info@taavura.co.il,600+
מובילי דרור (הובלה),אשדוד,08-859-1111,office@dror.co.il,95+
פרידנזון הובלות,אשדוד,08-851-4111,info@fridenson.co.il,120+
שלב תובלה,מרכז,03-925-8222,info@shalev.co.il,85+
ביקור רופא (אמבולנסים),מרכז,*6101,info@bikurofe.co.il,45+
יוסי אמבולנס (צי רכב),חולון,03-551-2222,info@yossi-ambulance.co.il,35+
שגריר חילוץ וגרירה (צי),חולון,*3388,info@shagrir.co.il,160+
דרכים שירותי דרך (צי),מרכז,*2008,info@drachim.co.il,75+
מטיילי ירון בר (הסעות),נתניה,09-865-1111,office@yaron-bar.co.il,65+
הורן את ליבוביץ' (הסעות),מרכז,03-977-1111,office@horn.co.il,180+
מטיילי נס ציונה (הסעות),נס ציונה,08-943-1111,info@nz-tours.co.il,45+
מטיילי רחובות (הסעות),רחובות,08-944-1111,info@rehovot-tours.co.il,55+
שי לי הסעות (צי רכב),רחובות,08-941-1111,info@shili.co.il,35+
מאיה תור (הסעות),מרכז,03-961-4444,info@maya-tour.co.il,60+
מוניות קסטל (צי רכבים),תל אביב,03-699-1991,info@castel.co.il,110+
"מוניות הדר (נתב""ג)",לוד,03-971-1103,info@hadar-taxi.co.il,160+
מוניות נתניה (צי רכבים),נתניה,09-861-1111,info@netanya-taxi.co.il,65+
מוניות ראשון (צי רכבים),ראשון לציון,03-963-1111,info@rishon-taxi.co.il,75+
מוניות פתח תקווה (צי),פתח תקווה,03-930-1111,info@pt-taxi.co.il,85+
אגד (צי אוטובוסים מרכז),מרכז,*2800,info@egged.co.il,2500+
דן (צי אוטובוסים מרכז),מרכז,*3456,info@dan.co.il,1200+
מטרופולין (צי אוטובוסים),מרכז,*5900,info@metropoline.com,600+
קווים (צי אוטובוסים),מרכז,*2060,info@kavim-t.co.il,550+
אפיקים (צי אוטובוסים),מרכז,*5678,info@afikim-t.co.il,500+
סופרבוס (צי אוטובוסים),מרכז,*1-700-700-181,info@superbus.co.il,450+
מנרב הנדסה (צי רכב),מרכז,03-611-1111,info@minrav.co.il,110+
קבוצת רום (צי רכב),מרכז,03-609-1111,info@rom-group.co.il,45+
לסיכו (Lesico) צי רכב,חולון,03-557-0000,info@lesico.co.il,130+
אוליצקי תשתיות (צי רכב),חולון,03-550-8000,info@olizki.co.il,145+
אלמור חשמל (צי רכב),חדרה,04-637-4141,info@el-mor.co.il,115+
מנורה מערכות (צי רכב),חולון,03-557-7777,office@menora.co.il,75+
ישראליפט מעליות (צי),חולון,03-558-0555,info@isralift.co.il,130+
שינדלר נחושתן מעליות (צי),פתח תקווה,03-926-0000,info@schindler.com,115+
טיסנקרופ מעליות (צי),מרכז,03-920-1111,info@thyssenkrupp.co.il,95+
אלקטרה מעליות (צי רכב),מרכז,*2060,info@electra.co.il,160+
מעליות על-רד (צי רכב),פתח תקווה,03-922-2222,info@al-rad.co.il,65+
כור מעליות (צי רכב),בני ברק,03-617-1555,info@koresh.co.il,75+
רב בריח (צי רכב שירות),יבנה,1-800-800-100,info@rav-bariach.com,95+
דלתות פנדור (צי רכב),ראשון לציון,*2500,info@pandoor.co.il,45+
חוסם דלתות (צי רכב),מרכז,03-902-1111,info@chosam.co.il,35+
דלתות חמדיה (צי רכב),מרכז,04-637-1111,info@hamadia.co.il,30+
קלין קור (צי רכב),מרכז,03-609-1111,info@cleancore.co.il,45+
אמון ניקיון ואחזקה (צי),נתניה,09-860-1111,info@amon-clean.co.il,40+
קלינור שירותי ניקיון (צי),ראשון לציון,03-961-4455,info@cleanor.co.il,55+
מור חברה לניקיון (צי),פתח תקווה,03-924-4455,info@mor-clean.co.il,45+
G1 פתרונות אבטחה (צי),פתח תקווה,03-920-6666,info@g1-group.com,210+
צוות 3 אבטחה (צי רכב),רחובות,073-801-1690,info@t3group.co.il,195+
מוקד אמון אבטחה (צי רכב),נתניה,*9103,info@amon.co.il,115+
מוקד השומרים (צי רכב),חולון,03-557-5222,info@hashomrim.co.il,95+
שלג לבן אבטחה (צי רכב),נתניה,09-835-0111,office@sheleg.co.il,110+
עמישב אבטחה (צי רכב),תל אביב,03-605-2222,info@amishav.co.il,125+
T&M אבטחה (צי רכב),פתח תקווה,03-921-2244,info@tmisrael.co.il,190+
מוקד אנוש (צי רכב),מרכז,03-921-1111,info@enosh.co.il,45+
יהלום אבטחה (צי רכב),מרכז,03-619-1111,info@yahalom-sec.co.il,35+
ביטחון אזרחי (צי רכב),מרכז,03-902-1111,info@civil-sec.co.il,35+
מוקד 99 (צי רכב סיור),מרכז,03-550-1111,info@moked99.co.il,40+
נוף ים ביטחון (צי רכב),נתניה,09-861-1111,info@nof-yam.co.il,55+
ביטחון לאומי (צי רכב),מרכז,03-902-1111,info@nat-sec.co.il,45+
סקופ (Scope) לוגי,גדרה,08-863-1000,info@scope.co.il,65+
פרשקובסקי הנדסה,ראשון לציון,03-961-3333,info@prashkovsky.co.il,35+
Be פארם (צי הפצה),מרכז,03-902-1111,info@be-pharm.co.il,25+
Be (פארם) לוגיסטיקה,מרכז,03-902-1111,info@be-pharm.co.il,30+
פדקס ישראל (FedEx),"נתב""ג",1-700-700-333,info@fedex.co.il,140+
UPS ישראל (הפצה),"נתב""ג",1-700-700-877,info@ups.co.il,160+
DHL ישראל (הפצה),"נתב""ג",03-557-1111,info@dhl.com,130+
אוריאן לוגיסטיקה,חולון,03-918-9100,info@orian.com,210+
פליינג קרגו (שירות),צריפין,03-975-2222,info@fci.co.il,280+
מנטפילד (צי הפצה),"נתב""ג",03-977-1111,info@mentfield.com,100+
לוגיסטיקר (אחסנה),אשדוד,08-851-1111,info@logisticare.co.il,85+
